x calibration: 0.00262636132538319, y calibration: 0.0029374323785305, z calibration: 0.00658254604786634
x calibration: 0.0077348193153739, y calibration: 0.00535032758489251, z calibration: 0.00606889370828867
x calibration: 0.005527563393116, y calibration: 0.00764864310622215, z calibration: 0.00518822902813554
x calibration: 0.0023955199867487, y calibration: 0.00629388261586428, z calibration: 0.00721725821495056
x calibration: 0.00259801186621189, y calibration: 0.00228356523439288, z calibration: 0.00818781182169914
x calibration: 0.00560547597706318, y calibration: 0.00392641825601459, z calibration: 0.00706505589187145
x calibration: 0.00679805455729365, y calibration: 0.00932889804244041, z calibration: 0.00448496919125318
x calibration: 0.00711606629192829, y calibration: 0.0106679080054164, z calibration: 0.00978961773216724
x calibration: 0.00643401313573122, y calibration: 0.00482122646644712, z calibration: 0.00911389384418726
x calibration: 0.0027043845038861, y calibration: 0.00395163241773844, z calibration: 0.00812101271003485
x calibration: 0.00332139385864139, y calibration: 0.00845618452876806, z calibration: 0.0109815001487732
x calibration: 0.00309778656810522, y calibration: 0.00721956603229046, z calibration: 0.00923355482518673
x calibration: 0.00656977714970708, y calibration: 0.0100416457280517, z calibration: 0.00823576282709837
x calibration: 0.0050193746574223, y calibration: 0.00706334132701158, z calibration: 0.00645899912342429
x calibration: 0.00275834184139967, y calibration: 0.00503621809184551, z calibration: 0.00959825329482555
x calibration: 0.0045029278844595, y calibration: 0.00830801203846932, z calibration: 0.0110044293105602
x calibration: 0.00193126103840768, y calibration: 0.00562987197190523, z calibration: 0.00676361098885536
x calibration: 0.00144433020614088, y calibration: 0.00680613284930587, z calibration: 0.00537641206756234
x calibration: 0.00281349243596196, y calibration: 0.00538713671267033, z calibration: 0.0103354658931494
x calibration: 0.00273490697145462, y calibration: 0.00556563911959529, z calibration: 0.0097462609410286
x calibration: 0.00297227711416781, y calibration: 0.00644953548908234, z calibration: 0.00621344009414315
x calibration: 0.00548428110778332, y calibration: 0.00193435186520219, z calibration: 0.00772278802469373
x calibration: 0.0018582665361464, y calibration: 0.0100413449108601, z calibration: 0.00774071039631963
x calibration: 0.00872950628399849, y calibration: 0.00695075374096632, z calibration: 0.0068074269220233
x calibration: 0.00602318719029427, y calibration: 0.00711905909702182, z calibration: 0.00759410718455911
x calibration: 0.00576946651563048, y calibration: 0.00741751817986369, z calibration: 0.00451504299417138
x calibration: 0.00603894842788577, y calibration: 0.0081039797514677, z calibration: 0.009840227663517
x calibration: 0.0027867779135704, y calibration: 0.00787343177944422, z calibration: 0.0072039645165205
x calibration: 0.00760501297190785, y calibration: 0.00620193919166923, z calibration: 0.00516816088929772
x calibration: 0.00253296596929431, y calibration: 0.00355605222284794, z calibration: 0.00683314725756645
x calibration: 0.0055996086448431, y calibration: 0.00714304484426975, z calibration: 0.0100427139550447
x calibration: 0.00657615950331092, y calibration: 0.00780792534351349, z calibration: 0.00748385302722454
x calibration: 0.00593054108321667, y calibration: 0.00472809607163072, z calibration: 0.00592948403209448
x calibration: 0.00680889887735248, y calibration: 0.00357763841748238, z calibration: 0.00650966493412852
x calibration: 0.000976201612502336, y calibration: 0.00540899392217398, z calibration: 0.0072999675758183
x calibration: 0.00591086829081178, y calibration: 0.00807926338165998, z calibration: 0.00670859403908253
x calibration: 0.00233426340855658, y calibration: 0.0052029937505722, z calibration: 0.00735110137611628
x calibration: 0.000526307849213481, y calibration: 0.00419758446514606, z calibration: 0.00644848821684718
x calibration: 0.00549912173300982, y calibration: 0.00829639844596386, z calibration: 0.00817792862653732
x calibration: 0.007617412135005, y calibration: 0.00375382299534976, z calibration: 0.00665563438087702
x calibration: 0.00531484745442867, y calibration: 0.00603292649611831, z calibration: 0.00293885730206966
x calibration: 0.00261931354179978, y calibration: 0.00532117672264576, z calibration: 0.00978062674403191
x calibration: 0.00205227266997099, y calibration: 0.006939847022295, z calibration: 0.0105578955262899
x calibration: 0.0056290989741683, y calibration: 0.00766294449567795, z calibration: 0.00616526650264859
x calibration: 0.00585252372547984, y calibration: 0.0076060863211751, z calibration: 0.0104415565729141
x calibration: 0.00454529654234648, y calibration: 0.00603649346157908, z calibration: 0.00890105776488781
x calibration: 0.00530364830046892, y calibration: 0.00435666553676128, z calibration: 0.00898425560444593
x calibration: 0.00466622505337, y calibration: 0.00672112591564655, z calibration: 0.00482162972912192
x calibration: 0.0070071192458272, y calibration: 0.00317087164148688, z calibration: 0.00911822076886892
x calibration: 0.00483045820146799, y calibration: 0.00705958297476172, z calibration: 0.00975482538342476
x calibration: 0.00495295040309429, y calibration: 0.00399893056601286, z calibration: 0.00949632469564676
x calibration: 0.00482900207862258, y calibration: 0.00375285325571895, z calibration: 0.00728999264538288
